date.local,time.local,tag.ID,serial.num,tag.group,species,FL,sex,location,site,gps.id,Latitude,Longitude,Notes,Surgeon,,
2009-07-22,19:40,60862,1393364,new V13,Lutjanus bohar,49,,Shark city/Mutiaur,Mutiaur,52,7.27599,134.18675,swam away,,,
2011-02-22,17:53,60863,1393365,new V13,Lutjanus bohar,56,,Shark city/Mutiaur,Mutiaur,480,7.27575,134.18617,"All good, it swam away",Christina,,
2009-07-22,19:03,60864,1393366,new V13,Lutjanus bohar,41,,Shark city/Mutiaur,Mutiaur,51,7.7.27591,134.18674,"Small, swam away",,,
2009-04-22,10:52,49996,1379011,new V16, Carcharhinus amblyrhynchos,114,Female,Shark city/Mutiaur,Mutiaur,45,7.27574,134.18658,"tag leader not fully inserted, tail beat on release but not very energetic",Natalie,N,
2009-10-22,14:15,49991,1379006,new V16, Carcharhinus amblyrhynchos,130,Female,Shark city/Mutiaur,Mutiaur,55,7.72546,134.18657,"Nice tag placement right side next to dorsal fin, had a previous gash wound on left side ~14 inches long on left",Natalie ,N,
2009-10-22,17:30,49993,1379008,new V16, Carcharhinus amblyrhynchos,121,Female,Ulong channel,Ulong,56,7.28293,134.24559,strong fight and swam away well,Natalie,Y,
2009-10-22,17:50,63782,1388931,new V16, Carcharhinus amblyrhynchos,118,Female,Ulong channel,Ulong,56,7.28293,134.24559,"motionless for ~3 minutes post surgery, thought to be dead but strong thrash when we attempted to bring it onboard for euthanasia; possible mortality; tag placement very close to dorsal fin",Christina,Y,
2009-10-22,17:25,63786,1388935,new V16, Carcharhinus amblyrhynchos,120,Female,Ulong channel,Ulong,56,7.28293,134.24559,"Very feisty, long fight, nice tag placement, incision a bit large ",Louw,Y,
2009-10-22,19:15,63788,1388937,new V16, Carcharhinus amblyrhynchos,119,Female,Ulong channel,Ulong,56,7.28293,134.24559,small shark; Good tag placement but teather not very deep (~2.5 inches); shark sank on release but still alive,Natalie,Y,
9/14/22,14:15,49994,1379009,new V16, Carcharhinus amblyrhynchos,111,Female,West of shark city,Mutiaur,59,7.26922,134.1819,"small shark, good energy, strong on release, tag placement on left rear or dorsal fin",Natalie,,
9/14/22,15:22,63784,1388933,new V16, Carcharhinus amblyrhynchos,124,Female,West of shark city,Mutiaur,60,7.26857,134.18138,"tag on right side, good placement, couldnt remove hook, has to cut leader, strong release",Louw,,
9/16/22,13:14,49998,1379013,new V16, Carcharhinus amblyrhynchos,125,Female,Shark city/Mutiaur,Mutiaur,61,7.27484,134.18462,"caught on first hook of buoy. line ~100m, good tag placement right side, swam well",Natalie,,
2011-03-22,18:06,49999,1379014,new V16, Carcharhinus amblyrhynchos,122,Female,Mutiaur sand channel,Mutiaur,485,7.27607,134.18607,"Part of hook stayed in mouth when dehooking, swam off",Louw,Y,Preserved fin clip in ethanol and stored in dry lab fridge
2012-03-22,07:04,49992,1379007,new V16, Carcharhinus amblyrhynchos,128,Female,Shark city/Mutiaur,Mutiaur,486,7.2753,134.18643,"tag tether not all the way in; tag on right, bent tagging applicator",Natalie,N,
2012-03-22,11:17,49995,1379010,new V16, Carcharhinus amblyrhynchos,115,Female,Shark city/Mutiaur,Mutiaur,487,7.27639,134.19208,"Perfect tag, right side, good swim; caught using buoy",Christina,,
2012-03-22,11:31,49997,1379012,new V16, Carcharhinus amblyrhynchos,112,Female,Shark city/Mutiaur,Mutiaur,488,7.27693,134.19325,"tether went all the way in then slipped mostly back out, might pull out-- left side, lot of fight",Natalie ,,
2012-03-22,07:58,63781,1388930,new V16, Carcharhinus amblyrhynchos,122,Female,Shark city/Mutiaur,Mutiaur,486,7.2753,134.18643,"tether half in, left side, tether inserted towards tail; still after tagging but kicked on release",Louw,,
2012-03-22,08:11,63789,1388938,new V16, Carcharhinus amblyrhynchos,124,Female,Shark city/Mutiaur,Mutiaur,486,7.2753,134.18643,"Tag on left, tether 1/2 way in, very feisty, couldnt get hook out-- cut with bolt cutters, not sure if it swam away",MQ,,
2012-04-22,09:52,63787,1388936,new V16, Carcharhinus amblyrhynchos,118,Female,Siaes,Siaes,490,7.3205,134.216689,"Right side, pulled out 1/2 way, slow kick on release",Louw,,
2012-05-22,15:00,63785,1388934,new V16, Carcharhinus amblyrhynchos,119,Female,Shark city sand channel,Mutiaur,486,7.27603,134.18616,"right side, perfect insertion, feisty, successful dehooking",Natalie,,
