"Timestamp","Receiver","CodeSpace","Signal","Sensor.Value","Sensor.Unit"
2018-04-20 22:50:23,133220,"R64K",4541,6.71,"Temp"
2018-04-20 22:51:33,133220,"R64K",4541,6.71,"Temp"
2018-04-20 22:52:11,133220,"R64K",4541,6.71,"Temp"
2018-04-20 22:54:32,133220,"R64K",4541,6.72,"Temp"
2018-04-20 22:56:38,133220,"R64K",4541,6.72,"Temp"
2018-04-20 22:57:25,133220,"R64K",4541,6.73,"Temp"
2018-04-20 22:58:23,133220,"R64K",4541,6.74,"Temp"
2018-04-20 22:59:52,133220,"R64K",4541,6.75,"Temp"
2018-04-20 23:00:27,133220,"R64K",4541,6.75,"Temp"
2018-04-20 23:01:11,133220,"R64K",4541,6.76,"Temp"
2018-04-20 23:01:35,133220,"R64K",4541,6.76,"Temp"
2018-04-20 23:02:07,133220,"R64K",4541,6.76,"Temp"
2018-04-20 23:02:58,133220,"R64K",4541,6.77,"Temp"
2018-04-20 23:03:43,133220,"R64K",4541,6.79,"Temp"
2018-04-20 23:04:32,133220,"R64K",4541,6.8,"Temp"
2018-04-20 23:05:22,133220,"R64K",4541,6.81,"Temp"
2018-04-20 23:05:58,133220,"R64K",4541,6.81,"Temp"
2018-04-20 23:06:26,133220,"R64K",4541,6.82,"Temp"
2018-04-20 23:07:03,133220,"R64K",4541,6.83,"Temp"
2018-04-20 23:07:35,133220,"R64K",4541,6.83,"Temp"
2018-04-22 02:15:45,133220,"R64K",4508,9.53,"Temp"
2018-04-22 02:18:02,133220,"R64K",4508,9.54,"Temp"
2018-04-22 02:18:33,133220,"R64K",4508,9.55,"Temp"
2018-04-22 02:19:16,133220,"R64K",4508,9.56,"Temp"
2018-04-22 02:20:01,133220,"R64K",4508,9.56,"Temp"
2018-04-22 02:20:45,133220,"R64K",4508,9.57,"Temp"
2018-04-22 02:21:25,133220,"R64K",4508,9.58,"Temp"
2018-04-22 02:22:14,133220,"R64K",4508,9.58,"Temp"
2018-04-22 02:22:57,133220,"R64K",4508,9.59,"Temp"
2018-04-22 02:23:38,133220,"R64K",4508,9.6,"Temp"
2018-04-22 02:24:04,133220,"R64K",4508,9.61,"Temp"
2018-04-22 02:24:52,133220,"R64K",4508,9.62,"Temp"
2018-04-22 02:25:46,133220,"R64K",4508,9.62,"Temp"
2018-04-22 02:26:31,133220,"R64K",4508,9.63,"Temp"
2018-04-22 02:27:29,133220,"R64K",4508,9.64,"Temp"
2018-04-22 02:28:03,133220,"R64K",4508,9.65,"Temp"
2018-04-22 02:28:38,133220,"R64K",4508,9.66,"Temp"
2018-04-22 02:29:22,133220,"R64K",4508,9.66,"Temp"
2018-04-22 02:30:15,133220,"R64K",4508,9.67,"Temp"
2018-04-22 02:31:02,133220,"R64K",4508,9.68,"Temp"
2018-04-22 02:32:33,133220,"R64K",4508,9.68,"Temp"
2018-04-22 03:21:08,133220,"R64K",4526,9.85,"Temp"
2018-04-22 03:22:31,133220,"R64K",4526,9.86,"Temp"
2018-04-22 03:34:31,133220,"R64K",4474,9.94,"Temp"
2018-04-22 03:37:26,133220,"R64K",4526,9.96,"Temp"
2018-04-22 03:37:33,133220,"R64K",4474,9.96,"Temp"
2018-04-22 03:38:50,133220,"R64K",4474,9.98,"Temp"
2018-04-22 03:40:23,133220,"R64K",4474,9.99,"Temp"
2018-04-22 03:40:49,133220,"R64K",4474,9.99,"Temp"
2018-04-22 03:41:52,133220,"R64K",4474,10,"Temp"
2018-04-22 03:43:17,133220,"R64K",4526,10.02,"Temp"
2018-04-22 03:44:48,133220,"R64K",4526,10.03,"Temp"
2018-04-22 03:46:12,133220,"R64K",4526,10.03,"Temp"
2018-04-22 03:47:12,133220,"R64K",4526,10.03,"Temp"
2018-04-22 03:47:32,133220,"R64K",4526,10.04,"Temp"
2018-04-22 03:49:18,133220,"R64K",4526,10.05,"Temp"
2018-04-22 03:50:46,133220,"R64K",4526,10.06,"Temp"
2018-04-22 03:51:25,133220,"R64K",4526,10.06,"Temp"
2018-04-22 03:52:16,133220,"R64K",4526,10.07,"Temp"
2018-04-22 03:53:08,133220,"R64K",4526,10.07,"Temp"
2018-04-22 03:53:28,133220,"R64K",4526,10.07,"Temp"
2018-04-22 03:55:15,133220,"R64K",4526,10.08,"Temp"
2018-04-22 03:56:03,133220,"R64K",4526,10.09,"Temp"
2018-04-22 03:56:44,133220,"R64K",4526,10.1,"Temp"
2018-04-22 03:57:40,133220,"R64K",4526,10.1,"Temp"
2018-04-22 03:58:01,133220,"R64K",4526,10.11,"Temp"
2018-04-22 03:58:54,133220,"R64K",4526,10.11,"Temp"
2018-04-22 03:59:29,133220,"R64K",4526,10.12,"Temp"
2018-04-22 04:00:04,133220,"R64K",4526,10.13,"Temp"
2018-04-22 04:00:39,133220,"R64K",4526,10.14,"Temp"
2018-04-22 04:01:01,133220,"R64K",4526,10.14,"Temp"
2018-04-22 04:01:37,133220,"R64K",4526,10.15,"Temp"
2018-04-22 04:02:16,133220,"R64K",4526,10.15,"Temp"
2018-04-22 04:06:38,133220,"R64K",4526,10.17,"Temp"
2018-04-22 04:07:10,133220,"R64K",4526,10.17,"Temp"
2018-04-22 15:57:18,133220,"R64K",4510,11.8,"Temp"
2018-04-22 16:00:33,133220,"R64K",4510,11.81,"Temp"
2018-04-22 16:01:20,133220,"R64K",4510,11.82,"Temp"
2018-04-22 16:02:11,133220,"R64K",4510,11.82,"Temp"
2018-04-22 16:03:53,133220,"R64K",4510,11.83,"Temp"
2018-04-22 16:04:52,133220,"R64K",4510,11.83,"Temp"
2018-04-22 16:05:20,133220,"R64K",4510,11.84,"Temp"
2018-04-22 16:12:06,133220,"R64K",4510,11.88,"Temp"
2018-04-22 16:12:58,133220,"R64K",4510,11.89,"Temp"
2018-04-22 16:13:51,133220,"R64K",4510,11.89,"Temp"
2018-04-22 16:14:19,133220,"R64K",4510,11.9,"Temp"
2018-04-22 16:15:19,133220,"R64K",4510,11.9,"Temp"
2018-04-22 16:15:55,133220,"R64K",4510,11.91,"Temp"
2018-04-22 16:16:29,133220,"R64K",4510,11.92,"Temp"
2018-04-22 16:17:02,133220,"R64K",4510,11.92,"Temp"
2018-04-22 16:17:43,133220,"R64K",4510,11.93,"Temp"
2018-04-22 16:18:22,133220,"R64K",4510,11.93,"Temp"
2018-04-22 16:18:53,133220,"R64K",4510,11.94,"Temp"
2018-04-22 16:19:25,133220,"R64K",4510,11.95,"Temp"
2018-04-22 16:19:46,133220,"R64K",4510,11.95,"Temp"
2018-04-22 16:20:06,133220,"R64K",4510,11.96,"Temp"
2018-04-22 16:20:44,133220,"R64K",4510,11.96,"Temp"
2018-04-22 16:21:23,133220,"R64K",4510,11.97,"Temp"
2018-04-22 16:22:06,133220,"R64K",4510,11.98,"Temp"
2018-04-22 16:23:04,133220,"R64K",4510,11.98,"Temp"
2018-04-22 16:27:37,133220,"R64K",4510,12,"Temp"
2018-04-22 23:08:20,133220,"R64K",4474,12.25,"Temp"
2018-04-22 23:08:42,133220,"R64K",4474,12.25,"Temp"
2018-04-22 23:09:08,133220,"R64K",4474,12.26,"Temp"
2018-04-22 23:10:41,133220,"R64K",4474,12.27,"Temp"
2018-04-22 23:12:36,133220,"R64K",4474,12.28,"Temp"
2018-04-22 23:14:16,133220,"R64K",4474,12.28,"Temp"
2018-04-22 23:14:45,133220,"R64K",4474,12.28,"Temp"
2018-04-22 23:15:14,133220,"R64K",4474,12.29,"Temp"
2018-04-22 23:21:45,133220,"R64K",4474,12.29,"Temp"
2018-04-23 01:08:30,133220,"R64K",4459,12.35,"Temp"
2018-04-23 01:10:01,133220,"R64K",4459,12.36,"Temp"
2018-04-23 01:12:33,133220,"R64K",4454,12.37,"Temp"
2018-04-23 01:13:56,133220,"R64K",4454,12.37,"Temp"
2018-04-23 01:17:49,133220,"R64K",4454,12.38,"Temp"
2018-04-23 01:20:47,133220,"R64K",4454,12.38,"Temp"
2018-04-23 01:34:02,133220,"R64K",4547,12.39,"Temp"
2018-04-23 01:34:26,133220,"R64K",4547,12.39,"Temp"
2018-04-23 01:35:11,133220,"R64K",4547,12.39,"Temp"
2018-04-23 01:37:04,133220,"R64K",4547,12.4,"Temp"
2018-04-23 01:38:27,133220,"R64K",4547,12.4,"Temp"
2018-04-23 01:39:25,133220,"R64K",4547,12.4,"Temp"
2018-04-23 01:40:03,133220,"R64K",4547,12.4,"Temp"
2018-04-23 01:40:33,133220,"R64K",4547,12.41,"Temp"
2018-04-23 01:41:16,133220,"R64K",4547,12.41,"Temp"
2018-04-23 01:42:04,133220,"R64K",4547,12.42,"Temp"
2018-04-23 01:42:38,133220,"R64K",4547,12.42,"Temp"
2018-04-23 01:43:32,133220,"R64K",4547,12.43,"Temp"
2018-04-23 01:44:09,133220,"R64K",4547,12.44,"Temp"
2018-04-23 01:44:51,133220,"R64K",4547,12.44,"Temp"
2018-04-23 01:45:49,133220,"R64K",4547,12.45,"Temp"
2018-04-23 01:46:29,133220,"R64K",4547,12.45,"Temp"
2018-04-23 01:47:20,133220,"R64K",4547,12.46,"Temp"
2018-04-23 01:48:58,133220,"R64K",4547,12.46,"Temp"
2018-04-23 07:53:31,133220,"R64K",4508,12.9,"Temp"
2018-04-23 07:53:51,133220,"R64K",4508,12.9,"Temp"
2018-04-23 07:54:18,133220,"R64K",4508,12.9,"Temp"
2018-04-23 07:54:51,133220,"R64K",4508,12.91,"Temp"
2018-04-23 07:55:35,133220,"R64K",4508,12.91,"Temp"
2018-04-23 07:56:06,133220,"R64K",4508,12.91,"Temp"
2018-04-23 07:56:44,133220,"R64K",4508,12.91,"Temp"
2018-04-23 07:58:37,133220,"R64K",4508,12.91,"Temp"
2018-04-24 02:07:20,133220,"R64K",4510,13.32,"Temp"
2018-04-24 02:07:44,133220,"R64K",4510,13.32,"Temp"
2018-04-24 02:08:18,133220,"R64K",4510,13.32,"Temp"
2018-04-24 02:09:48,133220,"R64K",4510,13.33,"Temp"
2018-04-24 02:10:35,133220,"R64K",4510,13.33,"Temp"
2018-04-24 02:11:18,133220,"R64K",4510,13.34,"Temp"
2018-04-24 02:11:44,133220,"R64K",4510,13.34,"Temp"
2018-04-24 02:12:31,133220,"R64K",4510,13.35,"Temp"
2018-04-24 02:13:08,133220,"R64K",4510,13.35,"Temp"
2018-04-24 02:14:00,133220,"R64K",4510,13.35,"Temp"
2018-04-24 02:14:59,133220,"R64K",4510,13.36,"Temp"
2018-04-24 02:15:41,133220,"R64K",4510,13.36,"Temp"
2018-04-24 02:16:38,133220,"R64K",4510,13.37,"Temp"
2018-04-24 02:17:01,133220,"R64K",4510,13.37,"Temp"
2018-04-24 02:17:59,133220,"R64K",4510,13.38,"Temp"
2018-04-24 02:18:50,133220,"R64K",4510,13.38,"Temp"
2018-04-24 02:19:40,133220,"R64K",4510,13.39,"Temp"
2018-04-24 02:20:06,133220,"R64K",4510,13.39,"Temp"
2018-04-24 02:20:49,133220,"R64K",4510,13.4,"Temp"
2018-04-24 02:21:15,133220,"R64K",4510,13.41,"Temp"
2018-04-24 02:21:38,133220,"R64K",4510,13.41,"Temp"
2018-04-24 02:22:35,133220,"R64K",4510,13.42,"Temp"
2018-04-24 02:23:29,133220,"R64K",4510,13.43,"Temp"
2018-04-24 02:23:50,133220,"R64K",4510,13.43,"Temp"
2018-04-24 02:24:16,133220,"R64K",4510,13.44,"Temp"
2018-04-24 02:24:57,133220,"R64K",4510,13.44,"Temp"
2018-04-24 02:25:29,133220,"R64K",4510,13.45,"Temp"
2018-04-24 02:27:09,133220,"R64K",4510,13.46,"Temp"
2018-04-24 02:27:48,133220,"R64K",4510,13.46,"Temp"
2018-04-24 02:29:11,133220,"R64K",4510,13.48,"Temp"
2018-04-24 02:29:31,133220,"R64K",4510,13.48,"Temp"
2018-04-24 02:30:16,133220,"R64K",4510,13.49,"Temp"
2018-04-24 02:30:39,133220,"R64K",4510,13.49,"Temp"
2018-04-24 02:31:28,133220,"R64K",4510,13.5,"Temp"
2018-04-24 02:33:17,133220,"R64K",4510,13.5,"Temp"
2018-04-24 02:33:43,133220,"R64K",4510,13.5,"Temp"
2018-04-25 19:40:05,133220,"R64K",4502,14.36,"Temp"
2018-04-26 19:10:48,133220,"R64K",4516,14.62,"Temp"
2018-04-26 19:11:23,133220,"R64K",4516,14.63,"Temp"
2018-04-26 23:17:38,133220,"R64K",4526,14.71,"Temp"
2018-04-26 23:18:47,133220,"R64K",4526,14.71,"Temp"
