"Timestamp","Receiver","CodeSpace","Signal","Sensor.Value","Sensor.Unit"
2018-04-20 23:01:22,133209,"R64K",4541,6.76,"Temp"
2018-04-20 23:02:45,133209,"R64K",4541,6.77,"Temp"
2018-04-20 23:03:30,133209,"R64K",4541,6.78,"Temp"
2018-04-20 23:04:19,133209,"R64K",4541,6.8,"Temp"
2018-04-20 23:05:09,133209,"R64K",4541,6.81,"Temp"
2018-04-20 23:06:13,133209,"R64K",4541,6.82,"Temp"
2018-04-20 23:09:26,133209,"R64K",4541,6.84,"Temp"
2018-04-22 02:02:54,133209,"R64K",4508,9.48,"Temp"
2018-04-22 02:17:48,133209,"R64K",4508,9.54,"Temp"
2018-04-22 02:19:47,133209,"R64K",4508,9.56,"Temp"
2018-04-22 02:20:31,133209,"R64K",4508,9.57,"Temp"
2018-04-22 02:22:00,133209,"R64K",4508,9.58,"Temp"
2018-04-22 02:22:43,133209,"R64K",4508,9.59,"Temp"
2018-04-22 02:23:24,133209,"R64K",4508,9.6,"Temp"
2018-04-22 02:23:50,133209,"R64K",4508,9.61,"Temp"
2018-04-22 02:24:38,133209,"R64K",4508,9.61,"Temp"
2018-04-22 02:26:17,133209,"R64K",4508,9.63,"Temp"
2018-04-22 02:27:15,133209,"R64K",4508,9.64,"Temp"
2018-04-22 02:27:49,133209,"R64K",4508,9.65,"Temp"
2018-04-22 02:28:24,133209,"R64K",4508,9.65,"Temp"
2018-04-22 02:29:08,133209,"R64K",4508,9.66,"Temp"
2018-04-22 02:30:01,133209,"R64K",4508,9.67,"Temp"
2018-04-22 03:38:08,133209,"R64K",4474,9.97,"Temp"
2018-04-22 03:56:30,133209,"R64K",4526,10.09,"Temp"
2018-04-22 03:57:26,133209,"R64K",4526,10.1,"Temp"
2018-04-22 03:57:47,133209,"R64K",4526,10.1,"Temp"
2018-04-22 03:58:40,133209,"R64K",4526,10.11,"Temp"
2018-04-22 03:59:15,133209,"R64K",4526,10.12,"Temp"
2018-04-22 03:59:50,133209,"R64K",4526,10.12,"Temp"
2018-04-22 04:00:25,133209,"R64K",4526,10.13,"Temp"
2018-04-22 16:10:21,133209,"R64K",4510,11.87,"Temp"
2018-04-22 16:15:41,133209,"R64K",4510,11.91,"Temp"
