"Timestamp","Receiver","CodeSpace","Signal","Sensor.Value","Sensor.Unit"
2018-04-20 23:03:23,133205,"R64K",4541,6.78,"Temp"
2018-04-20 23:04:12,133205,"R64K",4541,6.79,"Temp"
2018-04-20 23:05:02,133205,"R64K",4541,6.8,"Temp"
2018-04-20 23:05:38,133205,"R64K",4541,6.81,"Temp"
2018-04-20 23:06:06,133205,"R64K",4541,6.82,"Temp"
2018-04-20 23:07:15,133205,"R64K",4541,6.83,"Temp"
2018-04-20 23:08:15,133205,"R64K",4541,6.84,"Temp"
2018-04-20 23:09:19,133205,"R64K",4541,6.84,"Temp"
2018-04-22 02:11:49,133205,"R64K",4508,9.51,"Temp"
2018-04-22 02:15:58,133205,"R64K",4508,9.53,"Temp"
2018-04-22 02:18:12,133205,"R64K",4508,9.55,"Temp"
2018-04-22 02:18:55,133205,"R64K",4508,9.55,"Temp"
2018-04-22 02:19:40,133205,"R64K",4508,9.56,"Temp"
2018-04-22 02:21:04,133205,"R64K",4508,9.57,"Temp"
2018-04-22 02:23:17,133205,"R64K",4508,9.6,"Temp"
2018-04-22 02:23:43,133205,"R64K",4508,9.6,"Temp"
2018-04-22 02:24:31,133205,"R64K",4508,9.61,"Temp"
2018-04-22 02:25:25,133205,"R64K",4508,9.62,"Temp"
2018-04-22 02:26:10,133205,"R64K",4508,9.63,"Temp"
2018-04-22 02:26:36,133205,"R64K",4508,9.63,"Temp"
2018-04-22 02:27:08,133205,"R64K",4508,9.64,"Temp"
2018-04-22 02:27:42,133205,"R64K",4508,9.65,"Temp"
2018-04-22 02:28:17,133205,"R64K",4508,9.65,"Temp"
2018-04-22 02:29:01,133205,"R64K",4508,9.66,"Temp"
2018-04-22 03:56:24,133205,"R64K",4526,10.09,"Temp"
2018-04-22 03:59:44,133205,"R64K",4526,10.12,"Temp"
2018-04-22 04:00:19,133205,"R64K",4526,10.13,"Temp"
2018-04-22 04:00:41,133205,"R64K",4526,10.14,"Temp"
2018-04-22 04:01:17,133205,"R64K",4526,10.14,"Temp"
2018-04-22 04:01:56,133205,"R64K",4526,10.15,"Temp"
2018-04-22 16:11:45,133205,"R64K",4510,11.88,"Temp"
2018-04-22 16:12:37,133205,"R64K",4510,11.88,"Temp"
2018-04-22 16:15:34,133205,"R64K",4510,11.91,"Temp"
2018-04-22 16:16:08,133205,"R64K",4510,11.91,"Temp"
2018-04-22 16:16:41,133205,"R64K",4510,11.92,"Temp"
2018-04-22 16:17:22,133205,"R64K",4510,11.93,"Temp"
2018-04-22 16:18:01,133205,"R64K",4510,11.93,"Temp"
2018-04-22 16:18:32,133205,"R64K",4510,11.94,"Temp"
2018-04-22 16:19:25,133205,"R64K",4510,11.95,"Temp"
2018-04-22 16:19:45,133205,"R64K",4510,11.95,"Temp"
2018-04-22 16:21:02,133205,"R64K",4510,11.97,"Temp"
2018-04-22 21:13:47,133205,"R64K",4494,12.15,"Temp"
2018-04-22 21:14:29,133205,"R64K",4494,12.16,"Temp"
2018-04-22 21:14:51,133205,"R64K",4494,12.16,"Temp"
2018-04-22 21:15:13,133205,"R64K",4494,12.16,"Temp"
2018-04-22 21:15:36,133205,"R64K",4494,12.16,"Temp"
2018-04-22 21:16:16,133205,"R64K",4494,12.16,"Temp"
2018-04-22 23:12:14,133205,"R64K",4474,12.27,"Temp"
2018-04-22 23:12:34,133205,"R64K",4474,12.28,"Temp"
2018-04-22 23:12:57,133205,"R64K",4474,12.28,"Temp"
2018-04-23 01:04:10,133205,"R64K",4459,12.33,"Temp"
2018-04-23 01:05:05,133205,"R64K",4459,12.34,"Temp"
2018-04-23 01:08:04,133205,"R64K",4454,12.34,"Temp"
2018-04-23 01:08:09,133205,"R64K",4459,12.34,"Temp"
2018-04-23 01:08:45,133205,"R64K",4454,12.35,"Temp"
2018-04-23 01:09:06,133205,"R64K",4454,12.35,"Temp"
2018-04-23 01:09:36,133205,"R64K",4454,12.36,"Temp"
2018-04-23 01:10:31,133205,"R64K",4454,12.36,"Temp"
2018-04-23 01:11:31,133205,"R64K",4454,12.36,"Temp"
2018-04-23 01:12:11,133205,"R64K",4454,12.37,"Temp"
2018-04-23 01:12:39,133205,"R64K",4454,12.37,"Temp"
2018-04-23 01:13:34,133205,"R64K",4454,12.37,"Temp"
2018-04-23 01:39:41,133205,"R64K",4547,12.4,"Temp"
2018-04-23 01:40:54,133205,"R64K",4547,12.41,"Temp"
2018-04-23 01:41:42,133205,"R64K",4547,12.41,"Temp"
2018-04-23 01:42:16,133205,"R64K",4547,12.42,"Temp"
2018-04-23 01:43:10,133205,"R64K",4547,12.42,"Temp"
2018-04-23 01:43:47,133205,"R64K",4547,12.43,"Temp"
2018-04-23 01:44:29,133205,"R64K",4547,12.44,"Temp"
2018-04-23 01:45:27,133205,"R64K",4547,12.44,"Temp"
2018-04-23 01:46:07,133205,"R64K",4547,12.45,"Temp"
2018-04-23 01:46:58,133205,"R64K",4547,12.46,"Temp"
2018-04-23 01:47:36,133205,"R64K",4547,12.46,"Temp"
2018-04-23 01:49:54,133205,"R64K",4547,12.47,"Temp"
2018-04-23 01:52:23,133205,"R64K",4547,12.47,"Temp"
2018-04-23 07:32:25,133205,"R64K",4508,12.89,"Temp"
2018-04-23 10:05:31,133205,"R64K",4526,13,"Temp"
2018-04-23 10:06:00,133205,"R64K",4526,13,"Temp"
2018-04-23 10:06:20,133205,"R64K",4526,13.01,"Temp"
2018-04-23 10:07:45,133205,"R64K",4526,13.01,"Temp"
2018-04-23 10:08:44,133205,"R64K",4526,13.01,"Temp"
2018-04-23 10:09:12,133205,"R64K",4526,13.01,"Temp"
2018-04-23 10:10:12,133205,"R64K",4526,13.01,"Temp"
2018-04-23 10:10:54,133205,"R64K",4526,13.02,"Temp"
2018-04-23 10:11:43,133205,"R64K",4526,13.02,"Temp"
2018-04-23 10:12:34,133205,"R64K",4526,13.02,"Temp"
2018-04-23 10:13:09,133205,"R64K",4526,13.02,"Temp"
2018-04-23 10:13:59,133205,"R64K",4526,13.03,"Temp"
2018-04-23 10:14:46,133205,"R64K",4526,13.03,"Temp"
2018-04-23 10:15:06,133205,"R64K",4526,13.03,"Temp"
2018-04-23 10:15:49,133205,"R64K",4526,13.03,"Temp"
2018-04-23 10:16:23,133205,"R64K",4526,13.03,"Temp"
2018-04-23 10:17:05,133205,"R64K",4526,13.04,"Temp"
2018-04-23 10:17:38,133205,"R64K",4526,13.04,"Temp"
2018-04-23 10:18:04,133205,"R64K",4526,13.04,"Temp"
2018-04-24 02:05:14,133205,"R64K",4510,13.31,"Temp"
2018-04-24 02:06:10,133205,"R64K",4510,13.31,"Temp"
2018-04-24 02:07:22,133205,"R64K",4510,13.32,"Temp"
2018-04-24 02:07:56,133205,"R64K",4510,13.32,"Temp"
2018-04-24 02:09:26,133205,"R64K",4510,13.33,"Temp"
2018-04-24 02:10:13,133205,"R64K",4510,13.33,"Temp"
2018-04-24 02:10:56,133205,"R64K",4510,13.34,"Temp"
2018-04-24 02:14:57,133205,"R64K",4510,13.36,"Temp"
2018-04-24 02:15:19,133205,"R64K",4510,13.36,"Temp"
2018-04-24 02:16:16,133205,"R64K",4510,13.36,"Temp"
2018-04-24 02:16:39,133205,"R64K",4510,13.37,"Temp"
2018-04-24 02:17:36,133205,"R64K",4510,13.38,"Temp"
2018-04-24 02:18:27,133205,"R64K",4510,13.38,"Temp"
2018-04-24 02:19:17,133205,"R64K",4510,13.38,"Temp"
2018-04-24 02:19:43,133205,"R64K",4510,13.39,"Temp"
2018-04-24 02:20:26,133205,"R64K",4510,13.4,"Temp"
2018-04-24 02:20:52,133205,"R64K",4510,13.4,"Temp"
2018-04-24 02:21:15,133205,"R64K",4510,13.41,"Temp"
2018-04-24 02:22:12,133205,"R64K",4510,13.41,"Temp"
2018-04-24 02:23:06,133205,"R64K",4510,13.42,"Temp"
2018-04-24 02:23:27,133205,"R64K",4510,13.42,"Temp"
2018-04-24 02:23:53,133205,"R64K",4510,13.43,"Temp"
2018-04-24 02:24:34,133205,"R64K",4510,13.44,"Temp"
2018-04-24 02:25:06,133205,"R64K",4510,13.44,"Temp"
2018-04-24 02:25:48,133205,"R64K",4510,13.45,"Temp"
2018-04-24 02:26:46,133205,"R64K",4510,13.45,"Temp"
2018-04-24 02:27:25,133205,"R64K",4510,13.46,"Temp"
2018-04-24 02:28:24,133205,"R64K",4510,13.47,"Temp"
2018-04-24 02:28:48,133205,"R64K",4510,13.47,"Temp"
2018-04-24 02:29:08,133205,"R64K",4510,13.47,"Temp"
2018-04-24 02:29:53,133205,"R64K",4510,13.48,"Temp"
2018-04-24 02:31:05,133205,"R64K",4510,13.49,"Temp"
2018-04-24 02:41:47,133205,"R64K",4510,13.5,"Temp"
2018-04-25 19:44:54,133205,"R64K",4502,14.37,"Temp"
2018-04-26 23:10:54,133205,"R64K",4526,14.66,"Temp"
2018-04-26 23:11:25,133205,"R64K",4526,14.66,"Temp"
2018-04-26 23:11:45,133205,"R64K",4526,14.66,"Temp"
2018-04-26 23:12:09,133205,"R64K",4526,14.67,"Temp"
2018-04-26 23:12:40,133205,"R64K",4526,14.67,"Temp"
2018-04-26 23:13:24,133205,"R64K",4526,14.68,"Temp"
2018-04-26 23:14:14,133205,"R64K",4526,14.68,"Temp"
2018-04-26 23:14:59,133205,"R64K",4526,14.68,"Temp"
2018-04-26 23:15:31,133205,"R64K",4526,14.69,"Temp"
2018-04-26 23:15:53,133205,"R64K",4526,14.69,"Temp"
2018-04-26 23:16:52,133205,"R64K",4526,14.7,"Temp"
2018-04-26 23:17:12,133205,"R64K",4526,14.7,"Temp"
2018-04-26 23:17:33,133205,"R64K",4526,14.7,"Temp"
2018-04-26 23:18:21,133205,"R64K",4526,14.71,"Temp"
2018-04-26 23:18:51,133205,"R64K",4526,14.71,"Temp"
2018-04-26 23:19:11,133205,"R64K",4526,14.72,"Temp"
